The Kingdom of Myrtana	O Reino de Myrtana
King Rhobar II	Rei Rhobar II
Eastern Archipelago	Arquipélago Oriental
The Guard	A Guarda
Militia	Milícia
Swordsman	Espadachim
Crossbowman	Besteiro
Veteran Swordsman	Espadachim Veterano
Veteran Crossbowman	Besteiro Veterano
Araxos	Araxos
Runner	Despachante
Mercenary	Mercenário
Hunter	Caçador
Veteran Mercenary	Mercenário Veterano
Veteran Hunter	Caçador Veterano
Wolf Sons	Filhos do Lobo
Wolf Son	Filho do Lobo
Usurer	Agiota
Usurer's men	Homens do Agiota
Subversives	Subversivos
Renegades	Renegados
Black Goblin 	Goblin Negro
Bloodfly 	Mosca-do-sangue
Bloodhound 	Cão-do-sangue
Boar 	Javali
Chomper 	Comilão
Demon 	Demônio
Demon Lord 	Senhor dos Demônios
Desert Rat 	Rato do Deserto
Draconian 	Draconiano 
Dragon 	Dragão
Dragon Snapper 	Dragão Mordedor
Field Raider 	Invade-campos
Field Raider 	Invade-campos
Fire Devil 	Diabo do Fogo
Fire Dragon 	Dragão do Fogo
Fire Golem 	Golem do Fogo
Fire Golem 	Golem do Fogo
Fire Lizard 	Lagarto do Fogo
Ghost Light 	Luz Fantasma
Giant Rat 	Rato Gigante
Goblin 	Goblin
Goblin – warrior 	Goblin Guerreiro
Goblin Skeleton 	Esqueleto de Goblin
Guard 	Guarda
Harpy 	Harpia
Ice Dragon 	Dragão do Gelo
Ice Golem 	Golem de Gelo
Ice Golem 	Golem de Gelo
Ice Wolf 	Lobo do Gelo
Lizard 	Lagarto
Locust Swarm 	Enxame de Gafanhotos
Lurker 	Espreitador
Meatbug 	Carninseto
Minecrawler 	Rasteja-minas
Minecrawler Warrior 	Rasteja-minas Guerreiro
Molerat 	Ratoupeira
Orc 	Orc
Panther 	Pantera
Razor 	Navalha
Rock Dragon 	Dragão da Pedra
S. Demon 	Demônio Pequeno
S. Goblin Skeleton 	Esqueleto de Goblin Pequeno
S. Golem 	Golem Pequeno
S. Skeleton 	Esqueleto Pequeno
S. Wolf 	Lobo Pequeno
Scavenger 	Carniceiro
Shadow Warrior 	Guerreiro da Sombra
Shadowbeast 	Besta-da-sombra
Sheep 	Ovelha
Skeleton 	Esqueleto
Skeleton Mage 	Mago Esqueleto
Skeleton Monster 	Monstro Esqueleto
Snapper 	Mordedor
Stone Golem 	Golem de Pedra
Stone Puma 	Puma de Pedra
Stone Sentinel 	Sentinela de Pedra
Swamp Corpse 	Cadáver do Pântano
Swamp Dragon 	Dragão do Pântano
Swamp Golem 	Golem do Pântano
Swamp Golem 	Golem do Pântano
Swamp Rat 	Rato do Pântano
Swampgas Drone 	Zangão de Gás-do-pântano
Swampshark 	Tubarão-do-pântano
Troll 	Troll
Undead Dragon 	Dragão Morto-vivo
Undead Orc 	Orc Morto-vivo
Warg 	Warg
Wolf 	Lobo
Zombie 	Zumbi
Head	Cabeça
Bug Meat	Carne de Inseto
Sheep Skin	Pele de Ovelha
Wolf Skin	Pele de Lobo
Field Raider Mandibles	Mandíbulas de Invade-campos
Claws	Garras
Lurker Claw	Garra de Espreitador
Teeth	Dentes
Minecrawler Mandibles	Mandíbulas de Rasteja-minas
Wings	Asas
Stinger	Ferrão
Reptile skin	Pele de réptil
Warg Skin	Pele de Warg
Boarskin	Pele de javali
Horn of a Dragon Snapper	Chifre de um Dragão Mordedor
Minecrawler Plates	Placas de Rasteja-minas
Hide of a Shadowbeast	Couro de uma Besta-da-sombra
Skin of a Swampshark	Pele de um Tubarão-do-pântano
Troll Hide	Couro de Troll
Hide of a Black Troll	Couro de um Troll Negro
Tongue of Fire	Língua de Fogo
Horn of a Shadowbeast	Chifre de uma Besta-da-sombra
Teeth of a Swampshark	Dentes de um Tubarão-do-pântano
Troll Tusk	Presa de Troll
Heart of a Stone Golem	Coração de um Golem de Pedra
Heart of a Fire Golem	Coração de um Golem de Fogo
Heart of an Ice Golem	Coração de um Golem de Gelo
Goblin's Bone	Osso de Goblin
Skeleton's Bone	Osso de Esqueleto
Heart of a Demon	Coração de um Demônio
Undead Dragon's Soul Stone	Pedra da Alma de Dragão Morto-Vivo
Heart of an Ice Dragon	Coração de um Dragão do Gelo
Heart of a Rock Dragon	Coração de um Dragão da Pedra
Heart of a Swamp Dragon	Coração de um Dragão do Pântano
Heart of a Fire Dragon	Coração de um Dragão do Fogo
Dragon Blood	Sangue de Dragão
Dragon Scales	Escamas de Dragão
Slickhand	Mão-astuta
Wetty	Molhadinho
Axeman	Machadinho
Toll Collector	Cobrador de pedágio
Sewermen	Trabalhadores do esgoto
Sewerman	Trabalhador do esgoto
Rebellious novice	Novato rebelde
Frost	Gelo
The Hyena	A Hiena
Widow	Viúva
Puma	Puma
The Prophet	O Profeta
Prophet's faithful	Seguidor do Profeta
Rabid Boar	Javali Raivoso
Overgrown scavenger	Carniceiro Corpulento
Fatty	Gordinho
Hardy	Durinho
The Bloodsucker	O Chupassangue
Ice Wolf	Lobo do Gelo
Ice Wolves	Lobos do Gelo
Albino Bear	Urso Albino
