11/6/22 1:08 PM
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	   71707	630567	                    2753826	                      3312828	   891	
Remaining:       	   70016	626001	                    2730507	                      3286574	   880	
Unique:          	   63358	594837	                    2598259	                      3129849	   869	
Unique Remaining:	   61882	590723	                    2577050	                      3105947	   858	


Estatísticas do arquivo individual:

File Name                                                                                  	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
Scripts/System/Menu/Menu_Text.json                                                         	           216	                 0	            208	                        0	        723	              0	         696	                     0	                             3571	                                    0	                              3453	                                           0	                               4075	                                      0	                                3938	                                             0	
Scripts/Content/Story/Text.d.json                                                          	           453	                 0	            435	                        0	       1255	              0	        1195	                     0	                             6973	                                    0	                              6678	                                           0	                               7816	                                      0	                                7479	                                             0	
Scripts/Content/Story/svm.d.json                                                           	          2708	              2698	           2205	                     2202	      21556	          21525	       18139	                 18127	                            93993	                                93848	                             79218	                                       79167	                             112857	                                 112691	                               95166	                                         95106	
Scripts/Content/Story/Mod_Written_Text.d.json                                              	          3869	              3846	           3651	                     3635	      51396	          51370	       50505	                 50487	                           242426	                               242284	                            237369	                                      237271	                             290178	                                 290033	                              284460	                                        284360	
Scripts/Content/Story/Mod_Text.d.json                                                      	          5084	              5030	           4718	                     4716	      19702	          19623	       18715	                 18711	                            99366	                                98953	                             94247	                                       94226	                             114300	                                 113857	                              108500	                                        108477	
Scripts/Content/Story/Mod_NPC_Names.d.json                                                 	           380	                 0	            364	                        0	        385	              0	         369	                     0	                             2046	                                    0	                              1957	                                           0	                               2051	                                      0	                                1962	                                             0	
Scripts/Content/Story/Mod_Dialoge_Common.d.json                                            	           327	                 0	            320	                        0	       1157	              0	        1149	                     0	                             5370	                                    0	                              5334	                                           0	                               6205	                                      0	                                6168	                                             0	
Scripts/Content/Story/Log_Entries/LOG_Entries.d.json                                       	          8356	              8356	           7787	                     7787	     100922	         100922	       94606	                 94606	                           434556	                               434556	                            407616	                                      407616	                             526447	                                 526447	                              493780	                                        493780	
Scripts/Content/Story/Log_Entries/LOG_Constants_Talents.d.json                             	            14	                14	             14	                       14	        265	            265	         265	                   265	                             1253	                                 1253	                              1253	                                        1253	                               1507	                                   1507	                                1507	                                          1507	
Scripts/Content/Story/Log_Entries/LOG_Constants_Notes.d.json                               	            43	                 0	             39	                        0	         97	              0	          91	                     0	                              687	                                    0	                               645	                                           0	                                758	                                      0	                                 714	                                             0	
Scripts/Content/Story/Log_Entries/LOG_Constants_Mattes.d.json                              	           183	               183	            179	                      179	        566	            566	         559	                   559	                             2714	                                 2714	                              2684	                                        2684	                               3097	                                   3097	                                3064	                                          3064	
Scripts/Content/Story/Events/EVT_SQ508.d.json                                              	             5	                 5	              5	                        5	         24	             24	          24	                    24	                              119	                                  119	                               119	                                         119	                                138	                                    138	                                 138	                                           138	
Scripts/Content/Story/Events/EVT_SQ313.d.json                                              	             1	                 1	              1	                        1	         13	             13	          13	                    13	                               50	                                   50	                                50	                                          50	                                 62	                                     62	                                  62	                                            62	
Scripts/Content/Story/Events/EVT_SQ225.d.json                                              	             2	                 2	              2	                        2	         11	             11	          11	                    11	                               45	                                   45	                                45	                                          45	                                 54	                                     54	                                  54	                                            54	
Scripts/Content/Story/Events/EVT_SQ125.d.json                                              	             2	                 2	              2	                        2	          4	              4	           4	                     4	                               16	                                   16	                                16	                                          16	                                 18	                                     18	                                  18	                                            18	
Scripts/Content/Story/Events/EVT_Secrets.d.json                                            	             1	                 1	              1	                        1	          5	              5	           5	                     5	                               26	                                   26	                                26	                                          26	                                 30	                                     30	                                  30	                                            30	
Scripts/Content/Story/Events/EVT_QA302.d.json                                              	             7	                 7	              7	                        7	         37	             37	          37	                    37	                              165	                                  165	                               165	                                         165	                                195	                                    195	                                 195	                                           195	
Scripts/Content/Story/Events/EVT_Q503.d.json                                               	             1	                 1	              1	                        1	          3	              3	           3	                     3	                               13	                                   13	                                13	                                          13	                                 15	                                     15	                                  15	                                            15	
Scripts/Content/Story/EventManager/EventManager.d.json                                     	           111	               111	            103	                      103	        761	            761	         734	                   734	                             3312	                                 3312	                              3189	                                        3189	                               3962	                                   3962	                                3820	                                          3820	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_WISP_VZ.d.json                                 	             1	                 1	              1	                        1	          1	              1	           1	                     1	                                9	                                    9	                                 9	                                           9	                                  9	                                      9	                                   9	                                             9	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_VLK_6358_Miroh_VZ.d.json                       	             6	                 6	              6	                        6	         44	             44	          44	                    44	                              190	                                  190	                               190	                                         190	                                228	                                    228	                                 228	                                           228	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_VLK_6357_Nivel_VZ.d.json                       	             4	                 4	              4	                        4	         30	             30	          30	                    30	                              135	                                  135	                               135	                                         135	                                161	                                    161	                                 161	                                           161	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_VLK_6282_Ruud_VZ.d.json                        	            14	                14	             14	                       14	        111	            111	         111	                   111	                              469	                                  469	                               469	                                         469	                                566	                                    566	                                 566	                                           566	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_VLK_6232_Veigo_VZ.d.json                       	             6	                 6	              6	                        6	         36	             36	          36	                    36	                              165	                                  165	                               165	                                         165	                                195	                                    195	                                 195	                                           195	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_VLK_10035_Gard_VZ.d.json                       	             6	                 6	              6	                        6	         57	             57	          57	                    57	                              252	                                  252	                               252	                                         252	                                302	                                    302	                                 302	                                           302	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_SLD_13785_Grif_VZ.d.json                       	            12	                12	             12	                       12	        123	            123	         123	                   123	                              575	                                  575	                               575	                                         575	                                686	                                    686	                                 686	                                           686	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_SLD_13784_Varin_VZ.d.json                      	            37	                37	             36	                       36	        378	            378	         377	                   377	                             1602	                                 1602	                              1595	                                        1595	                               1943	                                   1943	                                1936	                                          1936	
Scripts/Content/Story/Dialoge/Volfzacke/DIA_SLD_1009_Caramon_VZ.d.json                     	            19	                19	             15	                       15	        114	            114	         103	                   103	                              505	                                  505	                               444	                                         444	                                600	                                    600	                                 532	                                           532	
